"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Modules\IngredientListForm.jsx", "JavaScript", 44, 0, 10, 54
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Modules\NavDropDown.jsx", "JavaScript", 16, 0, 2, 18
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Modules\RecipeMakerToolTip.jsx", "JavaScript", 12, 0, 2, 14
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Modules\RecipeNotes.jsx", "JavaScript", 63, 13, 14, 90
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\server\server.js", "JavaScript", -1199, -140, -328, -1667
"Total", "-", -1064, -127, -300, -1491
