"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\server\server.js", "JavaScript", 1199, 140, 328, 1667
"Total", "-", 1199, 140, 328, 1667
